Ano;Grupo CID-10;Faixa Etária;Valor
2020;Artropatias;10 a 14 anos;-
2020;Doenças sistêmicas do tecido conjuntivo;10 a 14 anos;-
2020;Dorsopatias;10 a 14 anos;-
2020;Transtornos dos tecidos moles;10 a 14 anos;-
2020;Osteopatias e condropatias;10 a 14 anos;-
2020;Doenças glomerulares;10 a 14 anos;-
2020;Doenças renais túbulo-intersticiais;10 a 14 anos;-
2020;Insuficiência renal;10 a 14 anos;-
2020;Calculose renal;10 a 14 anos;-
2020;Outros transtornos do rim e do ureter;10 a 14 anos;-
2020;Outras doenças do aparelho urinário;10 a 14 anos;-
2020;Doenças dos órgãos genitais masculinos;10 a 14 anos;-
2020;Doenças inflamatórias órgãos pélvicos femininos;10 a 14 anos;-
2020;Transt não-inflamatórios do trato genital feminino;10 a 14 anos;-
2020;Edema proteinúr e transt hipert gravid parto puerp;10 a 14 anos;-
2020;Outros transtornos maternos relac predom gravidez;10 a 14 anos;-
2020;Assist à mãe mot feto cavid amniót e prob rel part;10 a 14 anos;-
2020;Complicações do trabalho de parto e do parto;10 a 14 anos;-
2020;Complicações relacionadas predom com o puerpério;10 a 14 anos;-
2020;Outras afecções obstétricas NCOP;10 a 14 anos;-
2020;Fet rec-nasc afet fat mat e compl grav, trab parto;10 a 14 anos;-
2020;Transt relac com a duração gestação e cresc fetal;10 a 14 anos;-
2020;Traumatismo de parto;10 a 14 anos;-
2020;Transt respirat e cardiovasc específ per perinatal;10 a 14 anos;-
2020;Infecções específicas do período perinatal;10 a 14 anos;-
2020;Transt hemorrág e hematológ feto e recém-nascido;10 a 14 anos;-
2020;Transt aparelho digestivo do feto ou recém-nascido;10 a 14 anos;-
2020;Afecç comprom tegument e reg térm fet e recém-nasc;10 a 14 anos;-
2020;Outros transtornos originados no período perinatal;10 a 14 anos;-
2020;Malformações congênitas do sistema nervoso;10 a 14 anos;-
2020;Malformações congênitas do aparelho circulatório;10 a 14 anos;2
2020;Malformações congênitas do aparelho respiratório;10 a 14 anos;-
2020;Outras malformações congênitas aparelho digestivo;10 a 14 anos;-
2020;Malformações congênitas do aparelho urinário;10 a 14 anos;-
2020;Malform e deform congênit do sistema osteomuscular;10 a 14 anos;-
2020;Outras malformações congênitas;10 a 14 anos;-
2020;Anomalias cromossômicas NCOP;10 a 14 anos;-
2020;Sint e sinais relat aparelho circulat e respirat;10 a 14 anos;-
2020;Sintom e sinais relat ao aparelho digest e abdome;10 a 14 anos;1
2020;Sintom e sinais relat à pele e tecido subcutâneo;10 a 14 anos;-
2020;Sintomas e sinais gerais;10 a 14 anos;-
2020;Causas mal definidas e desconhecidas mortalidade;10 a 14 anos;2
2020;Acidentes;10 a 14 anos;6
2020;Lesões autoprovocadas intencionalmente;10 a 14 anos;-
2020;Agressões;10 a 14 anos;25
2020;Eventos (fatos) cuja intenção é indeterminada;10 a 14 anos;7
2020;Complicações de assistência médica e cirúrgica;10 a 14 anos;-
2020;Seqüelas causas externas de morbidade e mortalidad;10 a 14 anos;-
2016;Doenças infecciosas intestinais;15 a 19 anos;-
2016;Tuberculose;15 a 19 anos;1
2016;Algumas doenças bacterianas zoonóticas;15 a 19 anos;1
2016;Outras doenças bacterianas;15 a 19 anos;1
2016;Infecções de transmissão predominantemente sexual;15 a 19 anos;-
2016;Infecções virais do sistema nervoso central;15 a 19 anos;-
2016;Febres por arbovírus e febres hemorrágicas virais;15 a 19 anos;-
2016;Infecções virais caract p/lesões de pele e mucosas;15 a 19 anos;-
2016;Hepatite viral;15 a 19 anos;-
2016;Doença pelo vírus da imunodeficiência humana [HIV];15 a 19 anos;2
2016;Outras doenças por vírus;15 a 19 anos;-
2016;Micoses;15 a 19 anos;-
2016;Doenças devidas a protozoários;15 a 19 anos;1
2016;Helmintíases;15 a 19 anos;-
2016;Seqüelas de doenças infecciosas e parasitárias;15 a 19 anos;-
2016;Outras doenças infecciosas;15 a 19 anos;-
2016;Neoplasias malignas;15 a 19 anos;18
2016;Neoplasias [tumores] in situ;15 a 19 anos;-
2016;Neoplasias [tumores] benignas(os);15 a 19 anos;1
2016;Neopl de comportamento incerto ou desconhecido;15 a 19 anos;-
2016;Anemias nutricionais;15 a 19 anos;-
2016;Anemias hemolíticas;15 a 19 anos;-
2016;Anemias aplásticas e outras anemias;15 a 19 anos;-
2016;Defeitos coagulação, púrpura, outr afecç hemorrág;15 a 19 anos;-
2016;Outras doenças do sangue e órgãos hematopoéticos;15 a 19 anos;-
2016;Alguns transt q comprometem o mecanismo imunitário;15 a 19 anos;1
2016;Transtornos da glândula tireóide;15 a 19 anos;1
2016;Diabetes mellitus;15 a 19 anos;-
2016;Outr transt regulação glicose e secr pancreát int;15 a 19 anos;-
2016;Transtornos de outras glândulas endócrinas;15 a 19 anos;1
2016;Desnutrição;15 a 19 anos;2
2016;Obesidade e outras formas de hiperalimentação;15 a 19 anos;1
2016;Distúrbios metabólicos;15 a 19 anos;-
2016;Transtornos mentais orgânicos, incl sintomáticos;15 a 19 anos;-
2016;Transt ment e comport dev ao uso subst psicoativa;15 a 19 anos;-
2016;Esquizofrenia, transt esquizotípicos e delirantes;15 a 19 anos;-
2016;Transtornos do humor [afetivos];15 a 19 anos;-
2016;Transt neuróticos, relacion stress e somatoformes;15 a 19 anos;-
2016;Retardo mental;15 a 19 anos;-
2016;Transtornos do desenvolvimento psicológico;15 a 19 anos;-
2016;Transtorno mental não especificado;15 a 19 anos;-
2016;Doenças inflamatórias do sistema nervoso central;15 a 19 anos;1
2016;Atrofias sistêm q afetam princ o sist nerv central;15 a 19 anos;-
2016;Doenças extrapiramidais e transt dos movimentos;15 a 19 anos;-
2016;Outras doenças degenerativas do sistema nervoso;15 a 19 anos;-
2016;Doenças desmielinizantes do sist nervoso central;15 a 19 anos;-
2016;Transtornos episódicos e paroxísticos;15 a 19 anos;2
2016;Polineuropatias e outr transt sist nerv periférico;15 a 19 anos;-
2016;Doenças da junção mioneural e dos músculos;15 a 19 anos;-
2016;Paralisia cerebral e outras síndromes paralíticas;15 a 19 anos;1
2016;Outros transtornos do sistema nervoso;15 a 19 anos;3
2016;Transtornos do humor vítreo e do globo ocular;15 a 19 anos;-
2016;Doenças do ouvido médio e da mastóide;15 a 19 anos;-
2016;Doenças reumáticas crônicas do coração;15 a 19 anos;-
2016;Doenças hipertensivas;15 a 19 anos;-
2016;Doenças isquêmicas do coração;15 a 19 anos;-
2016;Doenças cardíaca pulmonar e da circulação pulmonar;15 a 19 anos;-
2016;Outras formas de doença do coração;15 a 19 anos;2
2016;Doenças cerebrovasculares;15 a 19 anos;-
2016;Doenças das artérias, das arteríolas e capilares;15 a 19 anos;-
2016;Doenças veias, vasos e gânglios linfáticos, NCOP;15 a 19 anos;-
2016;Infecções agudas das vias aéreas superiores;15 a 19 anos;-
2016;Influenza [gripe] e pneumonia;15 a 19 anos;3
2016;Outras infecções agudas das vias aéreas inferiores;15 a 19 anos;-
2016;Outras doenças das vias aéreas superiores;15 a 19 anos;-
2016;Doenças crônicas das vias aéreas inferiores;15 a 19 anos;1
2016;Doenças pulmonares devidas a agentes externos;15 a 19 anos;-
2016;Outras doenças respirat q afetam princ interstício;15 a 19 anos;-
2016;Afecções necróticas e supurat vias aéreas infer;15 a 19 anos;-
2016;Outras doenças da pleura;15 a 19 anos;-
2016;Outras doenças do aparelho respiratório;15 a 19 anos;1
2016;Doenças do esôfago, do estômago e do duodeno;15 a 19 anos;-
2016;Doenças do apêndice;15 a 19 anos;-
2016;Hérnias;15 a 19 anos;-
2016;Enterites e colites não-infecciosas;15 a 19 anos;1
2016;Outras doenças dos intestinos;15 a 19 anos;-
2016;Doenças do peritônio;15 a 19 anos;-
2016;Doenças do fígado;15 a 19 anos;-
2016;Transt vesícula biliar, vias biliares e pâncreas;15 a 19 anos;1
2016;Outras doenças do aparelho digestivo;15 a 19 anos;1
2016;Infecções da pele e do tecido subcutâneo;15 a 19 anos;-
2016;Afecções bolhosas;15 a 19 anos;-
2016;Dermatite e eczema;15 a 19 anos;-
2016;Afecções pápulo-descamativas;15 a 19 anos;-
2016;Urticária e eritema;15 a 19 anos;-
2016;Outras afecções da pele e do tecido subcutâneo;15 a 19 anos;-
2016;Artropatias;15 a 19 anos;-
2016;Doenças sistêmicas do tecido conjuntivo;15 a 19 anos;2
2016;Dorsopatias;15 a 19 anos;-
2016;Transtornos dos tecidos moles;15 a 19 anos;1
2016;Osteopatias e condropatias;15 a 19 anos;-
2016;Doenças glomerulares;15 a 19 anos;-
2016;Doenças renais túbulo-intersticiais;15 a 19 anos;-
2016;Insuficiência renal;15 a 19 anos;2
2016;Calculose renal;15 a 19 anos;1
2016;Outros transtornos do rim e do ureter;15 a 19 anos;-
2016;Outras doenças do aparelho urinário;15 a 19 anos;1
2016;Doenças dos órgãos genitais masculinos;15 a 19 anos;-
2016;Doenças da mama;15 a 19 anos;-
2016;Doenças inflamatórias órgãos pélvicos femininos;15 a 19 anos;-
2016;Transt não-inflamatórios do trato genital feminino;15 a 19 anos;-
2016;Gravidez que termina em aborto;15 a 19 anos;-
2016;Edema proteinúr e transt hipert gravid parto puerp;15 a 19 anos;-
2016;Assist à mãe mot feto cavid amniót e prob rel part;15 a 19 anos;-
2016;Complicações do trabalho de parto e do parto;15 a 19 anos;-
2016;Complicações relacionadas predom com o puerpério;15 a 19 anos;-
2016;Outras afecções obstétricas NCOP;15 a 19 anos;-
2016;Fet rec-nasc afet fat mat e compl grav, trab parto;15 a 19 anos;-
2016;Transt relac com a duração gestação e cresc fetal;15 a 19 anos;-
2016;Traumatismo de parto;15 a 19 anos;-
2016;Transt respirat e cardiovasc específ per perinatal;15 a 19 anos;-
2016;Infecções específicas do período perinatal;15 a 19 anos;-
2016;Transt hemorrág e hematológ feto e recém-nascido;15 a 19 anos;-
2016;Transt endócr e metaból trans espec fet e rec-nasc;15 a 19 anos;-
2016;Transt aparelho digestivo do feto ou recém-nascido;15 a 19 anos;-
2016;Afecç comprom tegument e reg térm fet e recém-nasc;15 a 19 anos;-
2016;Outros transtornos originados no período perinatal;15 a 19 anos;-
2016;Malformações congênitas do sistema nervoso;15 a 19 anos;-
2016;Malformações congênitas do aparelho circulatório;15 a 19 anos;1
2016;Malformações congênitas do aparelho respiratório;15 a 19 anos;-
2016;Outras malformações congênitas aparelho digestivo;15 a 19 anos;-
2016;Malformações congênitas do aparelho urinário;15 a 19 anos;-
2016;Malform e deform congênit do sistema osteomuscular;15 a 19 anos;-
2016;Outras malformações congênitas;15 a 19 anos;-
2016;Anomalias cromossômicas NCOP;15 a 19 anos;1
2016;Sint e sinais relat aparelho circulat e respirat;15 a 19 anos;1
2016;Sintom e sinais relat ao aparelho digest e abdome;15 a 19 anos;-
2016;Sintom e sinais relat à pele e tecido subcutâneo;15 a 19 anos;-
2016;Sint e sinais relat sist nervoso e osteomuscular;15 a 19 anos;-
2016;Sint e sinais rel cogn percep estado emoc e compor;15 a 19 anos;-
2016;Sintomas e sinais gerais;15 a 19 anos;1
2016;Achad anorm exam e out líq, subs e tec corp s/diag;15 a 19 anos;-
2016;Causas mal definidas e desconhecidas mortalidade;15 a 19 anos;3
2016;Acidentes;15 a 19 anos;31
2016;Lesões autoprovocadas intencionalmente;15 a 19 anos;10
2016;Agressões;15 a 19 anos;262
2016;Eventos (fatos) cuja intenção é indeterminada;15 a 19 anos;11
2016;Complicações de assistência médica e cirúrgica;15 a 19 anos;-
2016;Seqüelas causas externas de morbidade e mortalidad;15 a 19 anos;1
2017;Doenças infecciosas intestinais;15 a 19 anos;-
2017;Tuberculose;15 a 19 anos;-
2017;Algumas doenças bacterianas zoonóticas;15 a 19 anos;-
2017;Outras doenças bacterianas;15 a 19 anos;-
2017;Infecções de transmissão predominantemente sexual;15 a 19 anos;-
2017;Infecções virais do sistema nervoso central;15 a 19 anos;-
2017;Febres por arbovírus e febres hemorrágicas virais;15 a 19 anos;-
2017;Infecções virais caract p/lesões de pele e mucosas;15 a 19 anos;-
2017;Hepatite viral;15 a 19 anos;-
2017;Doença pelo vírus da imunodeficiência humana [HIV];15 a 19 anos;3
2017;Outras doenças por vírus;15 a 19 anos;-
2017;Micoses;15 a 19 anos;-
2017;Doenças devidas a protozoários;15 a 19 anos;-
2017;Helmintíases;15 a 19 anos;-
2017;Pediculose, acaríase e outras infestações;15 a 19 anos;-
2017;Seqüelas de doenças infecciosas e parasitárias;15 a 19 anos;-
2017;Outras doenças infecciosas;15 a 19 anos;-
2017;Neoplasias malignas;15 a 19 anos;9
2017;Neoplasias [tumores] in situ;15 a 19 anos;-
2017;Neoplasias [tumores] benignas(os);15 a 19 anos;-
2017;Neopl de comportamento incerto ou desconhecido;15 a 19 anos;-
2017;Anemias nutricionais;15 a 19 anos;-
2017;Anemias hemolíticas;15 a 19 anos;1
2017;Anemias aplásticas e outras anemias;15 a 19 anos;1
2017;Defeitos coagulação, púrpura, outr afecç hemorrág;15 a 19 anos;-
2017;Outras doenças do sangue e órgãos hematopoéticos;15 a 19 anos;-
2017;Alguns transt q comprometem o mecanismo imunitário;15 a 19 anos;-
2017;Transtornos da glândula tireóide;15 a 19 anos;-
2017;Diabetes mellitus;15 a 19 anos;-
2017;Outr transt regulação glicose e secr pancreát int;15 a 19 anos;-
2017;Transtornos de outras glândulas endócrinas;15 a 19 anos;-
2017;Desnutrição;15 a 19 anos;-
2017;Outras deficiências nutricionais;15 a 19 anos;-
2017;Obesidade e outras formas de hiperalimentação;15 a 19 anos;1
2017;Distúrbios metabólicos;15 a 19 anos;-
2017;Transtornos mentais orgânicos, incl sintomáticos;15 a 19 anos;-
2017;Transt ment e comport dev ao uso subst psicoativa;15 a 19 anos;-
2017;Esquizofrenia, transt esquizotípicos e delirantes;15 a 19 anos;-
2017;Transtornos do humor [afetivos];15 a 19 anos;-
2017;Transt neuróticos, relacion stress e somatoformes;15 a 19 anos;-
2017;Retardo mental;15 a 19 anos;-
2017;Doenças inflamatórias do sistema nervoso central;15 a 19 anos;2
2017;Atrofias sistêm q afetam princ o sist nerv central;15 a 19 anos;-
2017;Doenças extrapiramidais e transt dos movimentos;15 a 19 anos;-
2017;Outras doenças degenerativas do sistema nervoso;15 a 19 anos;-
2017;Doenças desmielinizantes do sist nervoso central;15 a 19 anos;-
2017;Transtornos episódicos e paroxísticos;15 a 19 anos;-
2017;Polineuropatias e outr transt sist nerv periférico;15 a 19 anos;-
2017;Doenças da junção mioneural e dos músculos;15 a 19 anos;1
2017;Paralisia cerebral e outras síndromes paralíticas;15 a 19 anos;4
2017;Outros transtornos do sistema nervoso;15 a 19 anos;5
2017;Doenças do ouvido médio e da mastóide;15 a 19 anos;1
2017;Febre reumática aguda;15 a 19 anos;-
2017;Doenças reumáticas crônicas do coração;15 a 19 anos;-
2017;Doenças hipertensivas;15 a 19 anos;-
2017;Doenças isquêmicas do coração;15 a 19 anos;1
2017;Doenças cardíaca pulmonar e da circulação pulmonar;15 a 19 anos;-
2017;Outras formas de doença do coração;15 a 19 anos;-
2017;Doenças cerebrovasculares;15 a 19 anos;4
2017;Doenças das artérias, das arteríolas e capilares;15 a 19 anos;1
2017;Doenças veias, vasos e gânglios linfáticos, NCOP;15 a 19 anos;-
2017;Infecções agudas das vias aéreas superiores;15 a 19 anos;-
2017;Influenza [gripe] e pneumonia;15 a 19 anos;4
2017;Outras infecções agudas das vias aéreas inferiores;15 a 19 anos;-
2017;Outras doenças das vias aéreas superiores;15 a 19 anos;-
2017;Doenças crônicas das vias aéreas inferiores;15 a 19 anos;-
2017;Doenças pulmonares devidas a agentes externos;15 a 19 anos;-
2017;Outras doenças respirat q afetam princ interstício;15 a 19 anos;-
2017;Afecções necróticas e supurat vias aéreas infer;15 a 19 anos;-
2017;Outras doenças da pleura;15 a 19 anos;-
2017;Outras doenças do aparelho respiratório;15 a 19 anos;2
2017;Doenças do esôfago, do estômago e do duodeno;15 a 19 anos;-
2017;Doenças do apêndice;15 a 19 anos;1
2017;Hérnias;15 a 19 anos;-
2017;Enterites e colites não-infecciosas;15 a 19 anos;1
2017;Outras doenças dos intestinos;15 a 19 anos;1
2017;Doenças do peritônio;15 a 19 anos;-
2017;Doenças do fígado;15 a 19 anos;-
2017;Transt vesícula biliar, vias biliares e pâncreas;15 a 19 anos;-
2017;Outras doenças do aparelho digestivo;15 a 19 anos;-
2017;Infecções da pele e do tecido subcutâneo;15 a 19 anos;-
2017;Afecções bolhosas;15 a 19 anos;-
2017;Dermatite e eczema;15 a 19 anos;-
2017;Afecções pápulo-descamativas;15 a 19 anos;-
2017;Urticária e eritema;15 a 19 anos;-
2017;Outras afecções da pele e do tecido subcutâneo;15 a 19 anos;-
2017;Artropatias;15 a 19 anos;1
2017;Doenças sistêmicas do tecido conjuntivo;15 a 19 anos;1
2017;Dorsopatias;15 a 19 anos;-
2017;Transtornos dos tecidos moles;15 a 19 anos;-
2017;Osteopatias e condropatias;15 a 19 anos;-
2017;Doenças glomerulares;15 a 19 anos;-
2017;Doenças renais túbulo-intersticiais;15 a 19 anos;-
2017;Insuficiência renal;15 a 19 anos;-
2017;Calculose renal;15 a 19 anos;-
2017;Outros transtornos do rim e do ureter;15 a 19 anos;-
2017;Outras doenças do aparelho urinário;15 a 19 anos;-
2017;Doenças dos órgãos genitais masculinos;15 a 19 anos;-
2017;Doenças inflamatórias órgãos pélvicos femininos;15 a 19 anos;-
2017;Transt não-inflamatórios do trato genital feminino;15 a 19 anos;-
2017;Edema proteinúr e transt hipert gravid parto puerp;15 a 19 anos;1
2017;Outros transtornos maternos relac predom gravidez;15 a 19 anos;-
2017;Assist à mãe mot feto cavid amniót e prob rel part;15 a 19 anos;-
2017;Complicações do trabalho de parto e do parto;15 a 19 anos;-
2017;Complicações relacionadas predom com o puerpério;15 a 19 anos;-
2017;Outras afecções obstétricas NCOP;15 a 19 anos;-
2017;Fet rec-nasc afet fat mat e compl grav, trab parto;15 a 19 anos;-
2017;Transt relac com a duração gestação e cresc fetal;15 a 19 anos;-
2017;Traumatismo de parto;15 a 19 anos;-
2017;Transt respirat e cardiovasc específ per perinatal;15 a 19 anos;-
2017;Infecções específicas do período perinatal;15 a 19 anos;-
2017;Transt hemorrág e hematológ feto e recém-nascido;15 a 19 anos;-
2017;Transt aparelho digestivo do feto ou recém-nascido;15 a 19 anos;-
2017;Afecç comprom tegument e reg térm fet e recém-nasc;15 a 19 anos;-
2017;Outros transtornos originados no período perinatal;15 a 19 anos;-
2017;Malformações congênitas do sistema nervoso;15 a 19 anos;1
2017;Malformações congênitas do aparelho circulatório;15 a 19 anos;3
2017;Malformações congênitas do aparelho respiratório;15 a 19 anos;1
2017;Outras malformações congênitas aparelho digestivo;15 a 19 anos;-
2017;Malformações congênitas do aparelho urinário;15 a 19 anos;-
2017;Malform e deform congênit do sistema osteomuscular;15 a 19 anos;-
2017;Outras malformações congênitas;15 a 19 anos;1
2017;Anomalias cromossômicas NCOP;15 a 19 anos;-
2017;Sint e sinais relat aparelho circulat e respirat;15 a 19 anos;1
2017;Sintom e sinais relat ao aparelho digest e abdome;15 a 19 anos;-
2017;Sint e sinais relat sist nervoso e osteomuscular;15 a 19 anos;-
2017;Sint e sinais rel cogn percep estado emoc e compor;15 a 19 anos;-
2017;Sintomas e sinais relativos à fala e à voz;15 a 19 anos;-
2017;Sintomas e sinais gerais;15 a 19 anos;-
2017;Achad anorm exam diag imagem estud função, s/diag;15 a 19 anos;-
2017;Causas mal definidas e desconhecidas mortalidade;15 a 19 anos;1
2017;Acidentes;15 a 19 anos;22
2017;Lesões autoprovocadas intencionalmente;15 a 19 anos;7
2017;Agressões;15 a 19 anos;478
2017;Eventos (fatos) cuja intenção é indeterminada;15 a 19 anos;8
2017;Complicações de assistência médica e cirúrgica;15 a 19 anos;1
2017;Seqüelas causas externas de morbidade e mortalidad;15 a 19 anos;-
2018;Doenças infecciosas intestinais;15 a 19 anos;-
2018;Tuberculose;15 a 19 anos;1
2018;Algumas doenças bacterianas zoonóticas;15 a 19 anos;-
2018;Outras doenças bacterianas;15 a 19 anos;2
2018;Infecções de transmissão predominantemente sexual;15 a 19 anos;-
2018;Outras doenças causadas por clamídias;15 a 19 anos;-
2018;Infecções virais do sistema nervoso central;15 a 19 anos;-
2018;Febres por arbovírus e febres hemorrágicas virais;15 a 19 anos;-
2018;Infecções virais caract p/lesões de pele e mucosas;15 a 19 anos;1
2018;Hepatite viral;15 a 19 anos;-
2018;Doença pelo vírus da imunodeficiência humana [HIV];15 a 19 anos;-
2018;Outras doenças por vírus;15 a 19 anos;-
2018;Micoses;15 a 19 anos;-
2018;Doenças devidas a protozoários;15 a 19 anos;-
2018;Helmintíases;15 a 19 anos;-
2018;Seqüelas de doenças infecciosas e parasitárias;15 a 19 anos;-
2018;Outras doenças infecciosas;15 a 19 anos;-
2018;Neoplasias malignas;15 a 19 anos;8
2018;Neoplasias [tumores] in situ;15 a 19 anos;-
2018;Neoplasias [tumores] benignas(os);15 a 19 anos;-
2018;Neopl de comportamento incerto ou desconhecido;15 a 19 anos;-
2018;Anemias nutricionais;15 a 19 anos;-
2018;Anemias hemolíticas;15 a 19 anos;1
2018;Anemias aplásticas e outras anemias;15 a 19 anos;-
2018;Defeitos coagulação, púrpura, outr afecç hemorrág;15 a 19 anos;-
2018;Outras doenças do sangue e órgãos hematopoéticos;15 a 19 anos;-
2018;Alguns transt q comprometem o mecanismo imunitário;15 a 19 anos;-
2018;Transtornos da glândula tireóide;15 a 19 anos;-
2018;Diabetes mellitus;15 a 19 anos;-
2018;Transtornos de outras glândulas endócrinas;15 a 19 anos;-
2018;Desnutrição;15 a 19 anos;-
2018;Outras deficiências nutricionais;15 a 19 anos;-
2018;Obesidade e outras formas de hiperalimentação;15 a 19 anos;-
2018;Distúrbios metabólicos;15 a 19 anos;2
2018;Transtornos mentais orgânicos, incl sintomáticos;15 a 19 anos;-
2018;Transt ment e comport dev ao uso subst psicoativa;15 a 19 anos;-
2018;Esquizofrenia, transt esquizotípicos e delirantes;15 a 19 anos;-
2018;Transtornos do humor [afetivos];15 a 19 anos;-
2018;Retardo mental;15 a 19 anos;-
2018;Transtornos do desenvolvimento psicológico;15 a 19 anos;-
2018;Doenças inflamatórias do sistema nervoso central;15 a 19 anos;1
2018;Atrofias sistêm q afetam princ o sist nerv central;15 a 19 anos;-
2018;Doenças extrapiramidais e transt dos movimentos;15 a 19 anos;-
2018;Outras doenças degenerativas do sistema nervoso;15 a 19 anos;1
2018;Doenças desmielinizantes do sist nervoso central;15 a 19 anos;-
2018;Transtornos episódicos e paroxísticos;15 a 19 anos;-
2018;Doenças da junção mioneural e dos músculos;15 a 19 anos;-
2018;Paralisia cerebral e outras síndromes paralíticas;15 a 19 anos;3
2018;Outros transtornos do sistema nervoso;15 a 19 anos;4
2018;Doenças do ouvido externo;15 a 19 anos;-
2018;Doenças do ouvido médio e da mastóide;15 a 19 anos;1
2018;Febre reumática aguda;15 a 19 anos;-
2018;Doenças reumáticas crônicas do coração;15 a 19 anos;-
2018;Doenças hipertensivas;15 a 19 anos;-
2018;Doenças isquêmicas do coração;15 a 19 anos;-
2018;Doenças cardíaca pulmonar e da circulação pulmonar;15 a 19 anos;-
2018;Outras formas de doença do coração;15 a 19 anos;2
2018;Doenças cerebrovasculares;15 a 19 anos;2
2018;Doenças das artérias, das arteríolas e capilares;15 a 19 anos;-
2018;Doenças veias, vasos e gânglios linfáticos, NCOP;15 a 19 anos;-
2018;Outros transt e os não espec aparelho circulatório;15 a 19 anos;-
2018;Infecções agudas das vias aéreas superiores;15 a 19 anos;-
2018;Influenza [gripe] e pneumonia;15 a 19 anos;1
2018;Outras infecções agudas das vias aéreas inferiores;15 a 19 anos;-
2018;Outras doenças das vias aéreas superiores;15 a 19 anos;-
2018;Doenças crônicas das vias aéreas inferiores;15 a 19 anos;-
2018;Doenças pulmonares devidas a agentes externos;15 a 19 anos;-
2018;Outras doenças respirat q afetam princ interstício;15 a 19 anos;-
2018;Afecções necróticas e supurat vias aéreas infer;15 a 19 anos;-
2018;Outras doenças da pleura;15 a 19 anos;1
2018;Outras doenças do aparelho respiratório;15 a 19 anos;1
2018;Doenças cavidade oral, glând salivares e maxilares;15 a 19 anos;-
2018;Doenças do esôfago, do estômago e do duodeno;15 a 19 anos;-
2018;Doenças do apêndice;15 a 19 anos;1
2018;Hérnias;15 a 19 anos;-
2018;Enterites e colites não-infecciosas;15 a 19 anos;-
2018;Outras doenças dos intestinos;15 a 19 anos;2
2018;Doenças do peritônio;15 a 19 anos;-
2018;Doenças do fígado;15 a 19 anos;-
2018;Transt vesícula biliar, vias biliares e pâncreas;15 a 19 anos;-
2018;Outras doenças do aparelho digestivo;15 a 19 anos;-
2018;Infecções da pele e do tecido subcutâneo;15 a 19 anos;-
2018;Afecções bolhosas;15 a 19 anos;-
2018;Dermatite e eczema;15 a 19 anos;-
2018;Urticária e eritema;15 a 19 anos;-
2018;Outras afecções da pele e do tecido subcutâneo;15 a 19 anos;-
2018;Artropatias;15 a 19 anos;-
2018;Doenças sistêmicas do tecido conjuntivo;15 a 19 anos;1
2018;Dorsopatias;15 a 19 anos;-
2018;Transtornos dos tecidos moles;15 a 19 anos;-
2018;Osteopatias e condropatias;15 a 19 anos;-
2018;Doenças glomerulares;15 a 19 anos;-
2018;Doenças renais túbulo-intersticiais;15 a 19 anos;-
2018;Insuficiência renal;15 a 19 anos;-
2018;Calculose renal;15 a 19 anos;-
2018;Outros transtornos do rim e do ureter;15 a 19 anos;-
2018;Outras doenças do aparelho urinário;15 a 19 anos;2
2018;Doenças dos órgãos genitais masculinos;15 a 19 anos;-
2018;Doenças inflamatórias órgãos pélvicos femininos;15 a 19 anos;-
2018;Transt não-inflamatórios do trato genital feminino;15 a 19 anos;-
2018;Edema proteinúr e transt hipert gravid parto puerp;15 a 19 anos;-
2018;Assist à mãe mot feto cavid amniót e prob rel part;15 a 19 anos;-
2018;Complicações relacionadas predom com o puerpério;15 a 19 anos;1
2018;Outras afecções obstétricas NCOP;15 a 19 anos;1
2018;Fet rec-nasc afet fat mat e compl grav, trab parto;15 a 19 anos;-
2018;Transt relac com a duração gestação e cresc fetal;15 a 19 anos;-
2018;Transt respirat e cardiovasc específ per perinatal;15 a 19 anos;-
2018;Infecções específicas do período perinatal;15 a 19 anos;-
2018;Transt hemorrág e hematológ feto e recém-nascido;15 a 19 anos;-
2018;Transt aparelho digestivo do feto ou recém-nascido;15 a 19 anos;-
2018;Afecç comprom tegument e reg térm fet e recém-nasc;15 a 19 anos;-
2018;Outros transtornos originados no período perinatal;15 a 19 anos;-
2018;Malformações congênitas do sistema nervoso;15 a 19 anos;-
2018;Malformações congênitas do aparelho circulatório;15 a 19 anos;-
2018;Malformações congênitas do aparelho respiratório;15 a 19 anos;-
2018;Outras malformações congênitas aparelho digestivo;15 a 19 anos;-
2018;Malformações congênitas do aparelho urinário;15 a 19 anos;-
2018;Malform e deform congênit do sistema osteomuscular;15 a 19 anos;-
2018;Outras malformações congênitas;15 a 19 anos;-
2018;Anomalias cromossômicas NCOP;15 a 19 anos;-
2018;Sint e sinais relat aparelho circulat e respirat;15 a 19 anos;-
2018;Sintom e sinais relat ao aparelho digest e abdome;15 a 19 anos;-
2018;Sintom e sinais relat à pele e tecido subcutâneo;15 a 19 anos;-
2018;Sint e sinais relat sist nervoso e osteomuscular;15 a 19 anos;-
2018;Sintomas e sinais gerais;15 a 19 anos;-
2018;Causas mal definidas e desconhecidas mortalidade;15 a 19 anos;2
2018;Acidentes;15 a 19 anos;21
2018;Lesões autoprovocadas intencionalmente;15 a 19 anos;11
2018;Agressões;15 a 19 anos;339
2018;Eventos (fatos) cuja intenção é indeterminada;15 a 19 anos;6
2018;Complicações de assistência médica e cirúrgica;15 a 19 anos;-
